4968,GPR83
4969,TARS1
4970,TUBB4A
4971,SHOX
4972,COG3
4973,ROPN1L
4974,CEP85
4975,ADGRB2
4976,COPS6
4977,BHLHE40
4978,CDK16
4979,SIRT4
4980,GPC3
4981,IK
4982,CD69
4983,ZNF609
4984,SIK3
4985,DSTN
4986,MKNK2
4987,TXNDC12
4988,XRN2
4989,G6PC1
4990,NFE2L1
4991,CLPB
4992,ADAM15
4993,SHKBP1
4994,PGLYRP4
4995,CCDC88C
4996,DRP2
4997,CAMLG
4998,RECQL4
4999,DLAT
5000,ARF4
